"","year","park","variable","annual_value","averages","decades"
"1",1980,"ARCH","Soil Water",6.77677595628415,"annual_avg","1980-2019"
"2",1980,"ARCH","Runoff",116.5,"annual_avg","1980-2019"
"3",1980,"ARCH","Rain",278.5,"annual_avg","1980-2019"
"4",1980,"ARCH","Accumulated SWE",16.1,"annual_avg","1980-2019"
"5",1980,"ARCH","PET",802.1,"annual_avg","1980-2019"
"6",1980,"ARCH","Deficit",587.3,"annual_avg","1980-2019"
"7",1980,"ARCH","AET",214.5,"annual_avg","1980-2019"
"8",1980,"BLCA","Soil Water",54.0827868852459,"annual_avg","1980-2019"
"9",1980,"BLCA","Runoff",112.5,"annual_avg","1980-2019"
"10",1980,"BLCA","Rain",268.9,"annual_avg","1980-2019"
"11",1980,"BLCA","Accumulated SWE",31.7,"annual_avg","1980-2019"
"12",1980,"BLCA","PET",611.9,"annual_avg","1980-2019"
"13",1980,"BLCA","Deficit",350.8,"annual_avg","1980-2019"
"14",1980,"BLCA","AET",261,"annual_avg","1980-2019"
"15",1980,"BRCA","Soil Water",33.5562841530055,"annual_avg","1980-2019"
"16",1980,"BRCA","Runoff",238.1,"annual_avg","1980-2019"
"17",1980,"BRCA","Rain",251.8,"annual_avg","1980-2019"
"18",1980,"BRCA","Accumulated SWE",147.5,"annual_avg","1980-2019"
"19",1980,"BRCA","PET",530.3,"annual_avg","1980-2019"
"20",1980,"BRCA","Deficit",289.5,"annual_avg","1980-2019"
"21",1980,"BRCA","AET",240.6,"annual_avg","1980-2019"
"22",1980,"CANY","Soil Water",4.20601092896175,"annual_avg","1980-2019"
"23",1980,"CANY","Runoff",75.6,"annual_avg","1980-2019"
"24",1980,"CANY","Rain",222.4,"annual_avg","1980-2019"
"25",1980,"CANY","Accumulated SWE",12.6,"annual_avg","1980-2019"
"26",1980,"CANY","PET",823.2,"annual_avg","1980-2019"
"27",1980,"CANY","Deficit",635.7,"annual_avg","1980-2019"
"28",1980,"CANY","AET",186.1,"annual_avg","1980-2019"
"29",1980,"CARE","Soil Water",27.8401639344262,"annual_avg","1980-2019"
"30",1980,"CARE","Runoff",44.3,"annual_avg","1980-2019"
"31",1980,"CARE","Rain",217.2,"annual_avg","1980-2019"
"32",1980,"CARE","Accumulated SWE",27.7,"annual_avg","1980-2019"
"33",1980,"CARE","PET",667.4,"annual_avg","1980-2019"
"34",1980,"CARE","Deficit",430.4,"annual_avg","1980-2019"
"35",1980,"CARE","AET",235.8,"annual_avg","1980-2019"
"36",1980,"CEBR","Soil Water",218.974590163934,"annual_avg","1980-2019"
"37",1980,"CEBR","Runoff",882.2,"annual_avg","1980-2019"
"38",1980,"CEBR","Rain",276.7,"annual_avg","1980-2019"
"39",1980,"CEBR","Accumulated SWE",698.9,"annual_avg","1980-2019"
"40",1980,"CEBR","PET",282.3,"annual_avg","1980-2019"
"41",1980,"CEBR","Deficit",49.3,"annual_avg","1980-2019"
"42",1980,"CEBR","AET",231.9,"annual_avg","1980-2019"
"43",1980,"COLM","Soil Water",27.7139344262295,"annual_avg","1980-2019"
"44",1980,"COLM","Runoff",70.5,"annual_avg","1980-2019"
"45",1980,"COLM","Rain",258.8,"annual_avg","1980-2019"
"46",1980,"COLM","Accumulated SWE",13.8,"annual_avg","1980-2019"
"47",1980,"COLM","PET",735.1,"annual_avg","1980-2019"
"48",1980,"COLM","Deficit",489,"annual_avg","1980-2019"
"49",1980,"COLM","AET",245.3,"annual_avg","1980-2019"
"50",1980,"CURE","Soil Water",13.3642076502732,"annual_avg","1980-2019"
"51",1980,"CURE","Runoff",95.7,"annual_avg","1980-2019"
"52",1980,"CURE","Rain",105.5,"annual_avg","1980-2019"
"53",1980,"CURE","Accumulated SWE",99.1,"annual_avg","1980-2019"
"54",1980,"CURE","PET",482.3,"annual_avg","1980-2019"
"55",1980,"CURE","Deficit",352.3,"annual_avg","1980-2019"
"56",1980,"CURE","AET",129,"annual_avg","1980-2019"
"57",1980,"DINO","Soil Water",29.6748633879781,"annual_avg","1980-2019"
"58",1980,"DINO","Runoff",75.7,"annual_avg","1980-2019"
"59",1980,"DINO","Rain",207.3,"annual_avg","1980-2019"
"60",1980,"DINO","Accumulated SWE",38.6,"annual_avg","1980-2019"
"61",1980,"DINO","PET",649.4,"annual_avg","1980-2019"
"62",1980,"DINO","Deficit",437,"annual_avg","1980-2019"
"63",1980,"DINO","AET",213.5,"annual_avg","1980-2019"
"64",1980,"FOBU","Soil Water",180.448087431694,"annual_avg","1980-2019"
"65",1980,"FOBU","Runoff",26.6,"annual_avg","1980-2019"
