"","doy","park","month","decades","accumswe_daily","aet_daily","deficit_daily","pet_daily","rain_daily","runoff_daily","soil_water_daily"
"1",1,"ARCH","Jan","1980-2019",7.22,0.065,0.0175,0.0825,0.09,0.25,12.86
"2",1,"ARCH","Jan","2020-2059",1.51,0.1725,0.055,0.2275,0.155,0.31,11.27
"3",1,"ARCH","Jan","2060-2099",1.47,0.1725,0.0775,0.2425,0.6875,0.5575,11.4475
"4",1,"BLCA","Jan","1980-2019",19.23,0.0275,0.01,0.0375,0,0,76.2475
"5",1,"BLCA","Jan","2020-2059",14.615,0.0225,0.005,0.03,0.01,0,73.77
"6",1,"BLCA","Jan","2060-2099",9.1175,0.035,0.0025,0.04,0.2725,0.175,83.285
"7",1,"BRCA","Jan","1980-2019",20.2575,0.0175,0.0175,0.035,0.04,0.04,42.5525
"8",1,"BRCA","Jan","2020-2059",17.505,0.0325,0.0125,0.0475,0.125,0.3875,43.7975
"9",1,"BRCA","Jan","2060-2099",15.8125,0.035,0.015,0.05,0.1625,0.185,44.6525
"10",1,"CANY","Jan","1980-2019",4.5175,0.0925,0.03,0.12,0.1175,0.0375,8.21
"11",1,"CANY","Jan","2020-2059",0.8,0.1525,0.1075,0.255,0.13,0.165,6.6225
"12",1,"CANY","Jan","2060-2099",0.725,0.1425,0.1075,0.255,0.495,0.485,7.15
"13",1,"CARE","Jan","1980-2019",5.47,0.0375,0.0475,0.0875,0.02,0.12,26.81
"14",1,"CARE","Jan","2020-2059",2.9125,0.075,0.07,0.145,0.0175,0,28.64
"15",1,"CARE","Jan","2060-2099",2.8325,0.115,0.09,0.2075,0.1575,0,26.585
"16",1,"CEBR","Jan","1980-2019",138.715,0.0125,0,0.0125,0.0175,0.115,226.305
"17",1,"CEBR","Jan","2020-2059",153.97,0,0,0,0.1025,0.325,223.8575
"18",1,"CEBR","Jan","2060-2099",127.4625,0,0,0,0,0.0025,224.5625
"19",1,"COLM","Jan","1980-2019",8.1975,0.0625,0.0225,0.08,0.23,0.0375,43.7075
"20",1,"COLM","Jan","2020-2059",3.6525,0.0575,0.0325,0.0925,0.3225,0.1725,41.3675
"21",1,"COLM","Jan","2060-2099",2.22,0.115,0.01,0.1275,0.7575,0.6875,46.3875
"22",1,"CURE","Jan","1980-2019",23.8425,0.005,0,0.005,0,0,21.9875
"23",1,"CURE","Jan","2020-2059",23.0025,0,0,0,0.0725,0.2875,22.675
"24",1,"CURE","Jan","2060-2099",20.98,0.0025,0.0025,0.0025,0,0,21.2125
