"","doy","park","month","decades","accumswe_daily","aet_daily","deficit_daily","pet_daily","rain_daily","runoff_daily","soil_water_daily"
"1",1,"ARCH","Jan","1980-2019",7.22,0.065,0.0175,0.0825,0.09,0.25,12.86
"2",1,"ARCH","Jan","2020-2059",1.53,0.2175,0.0625,0.2775,0.3975,0.595,11.6575
"3",1,"ARCH","Jan","2060-2099",0.1425,0.3275,0.1575,0.4825,0.13,0.29,10.3125
"4",1,"BLCA","Jan","1980-2019",19.23,0.0275,0.01,0.0375,0,0,76.2475
"5",1,"BLCA","Jan","2020-2059",8.975,0.0425,0.01,0.0525,0.4875,0.0075,80.5425
"6",1,"BLCA","Jan","2060-2099",1.555,0.2125,0.0725,0.2875,0.3175,0.025,60.145
"7",1,"BRCA","Jan","1980-2019",20.2575,0.0175,0.0175,0.035,0.04,0.04,42.5525
"8",1,"BRCA","Jan","2020-2059",10.29,0.1025,0.0075,0.1125,0.525,0.765,44.555
"9",1,"BRCA","Jan","2060-2099",3.6775,0.2,0.06,0.265,0.085,0.3925,40.175
"10",1,"CANY","Jan","1980-2019",4.5175,0.0925,0.03,0.12,0.1175,0.0375,8.21
"11",1,"CANY","Jan","2020-2059",0.9325,0.1075,0.095,0.205,0.285,0.4725,7.265
"12",1,"CANY","Jan","2060-2099",0.115,0.2375,0.1725,0.415,0.27,0.235,6.595
"13",1,"CARE","Jan","1980-2019",5.47,0.0375,0.0475,0.0875,0.02,0.12,26.81
"14",1,"CARE","Jan","2020-2059",3.0425,0.095,0.09,0.1825,0.14,0,26.115
"15",1,"CARE","Jan","2060-2099",0.5975,0.145,0.1675,0.3025,0.155,0.365,27.095
"16",1,"CEBR","Jan","1980-2019",138.715,0.0125,0,0.0125,0.0175,0.115,226.305
"17",1,"CEBR","Jan","2020-2059",98.1725,0,0,0,0.8125,1.855,227.055
"18",1,"CEBR","Jan","2060-2099",34.63,0.0675,0,0.0725,0.3125,1.115,223.035
"19",1,"COLM","Jan","1980-2019",8.1975,0.0625,0.0225,0.08,0.23,0.0375,43.7075
"20",1,"COLM","Jan","2020-2059",1.6775,0.1875,0.055,0.2425,0.4125,0.0575,43.2625
"21",1,"COLM","Jan","2060-2099",0.11,0.2875,0.1575,0.46,0.2,0.1625,34.09
"22",1,"CURE","Jan","1980-2019",23.8425,0.005,0,0.005,0,0,21.9875
"23",1,"CURE","Jan","2020-2059",20.9875,0,0,0,0.02,0,22.1975
"24",1,"CURE","Jan","2060-2099",11.155,0.03,0.015,0.0425,0,0,19.28
"25",1,"DINO","Jan","1980-2019",12.79,0.0175,0.0075,0.025,0.015,0,40.23
"26",1,"DINO","Jan","2020-2059",6.3975,0.0575,0.015,0.075,0.105,0.45,40.79
"27",1,"DINO","Jan","2060-2099",4.435,0.0975,0.03,0.1275,0.4725,0.555,44.4
"28",1,"FOBU","Jan","1980-2019",37.825,0.005,0.0025,0.01,0,0,163.9125
"29",1,"FOBU","Jan","2020-2059",29.81,0.005,0.0025,0.005,0.1775,0,136.7825
"30",1,"FOBU","Jan","2060-2099",8.5775,0.0525,0.015,0.0725,0.4325,0,127.005
"31",1,"GOSP","Jan","1980-2019",18.845,0.0325,0.005,0.0375,0.2725,0.08,65.0925
"32",1,"GOSP","Jan","2020-2059",8.0325,0.105,0.005,0.1075,0.8025,0.985,72.415
"33",1,"GOSP","Jan","2060-2099",1.2225,0.28,0.04,0.3225,2.1575,1.9975,69.4675
"34",1,"HOVE","Jan","1980-2019",9.2775,0.075,0.04,0.1175,0.265,0,59.47
"35",1,"HOVE","Jan","2020-2059",2.5825,0.19,0.08,0.2675,0.8175,0,58.045
"36",1,"HOVE","Jan","2060-2099",0.7925,0.2325,0.2575,0.49,0.1475,0.09,43.0625
"37",1,"NABR","Jan","1980-2019",9.4175,0.09,0.025,0.115,0.2525,0,37.485
"38",1,"NABR","Jan","2020-2059",2.29,0.195,0.055,0.2575,0.7425,0.57,37.5975
"39",1,"NABR","Jan","2060-2099",0.5425,0.29,0.1775,0.46,0.1225,0.075,30.3425
"40",1,"PISP","Jan","1980-2019",1.8,0.17,0.1625,0.33,0.1675,0.0125,41.01
"41",1,"PISP","Jan","2020-2059",0.02,0.345,0.245,0.595,1.145,0.255,36.8025
"42",1,"PISP","Jan","2060-2099",0.0075,0.2525,0.47,0.73,0.09,0,24.8275
"43",1,"TICA","Jan","1980-2019",62.5125,0.0125,0,0.015,0.1175,0.505,129.4875
"44",1,"TICA","Jan","2020-2059",53.1025,0.025,0,0.025,1.34,2.46,126.7275
"45",1,"TICA","Jan","2060-2099",23.045,0.0875,0,0.0925,2.6125,4.31,133.1325
"46",1,"ZION","Jan","1980-2019",9.0325,0.21,0.02,0.2375,0.2125,1.1475,38.2525
"47",1,"ZION","Jan","2020-2059",0.815,0.325,0.05,0.38,1.9825,2.6625,36.1475
"48",1,"ZION","Jan","2060-2099",0.665,0.475,0.1325,0.595,0.3525,0.585,33.6575
"49",2,"ARCH","Jan","1980-2019",7.2775,0.11,0.015,0.1325,0.0925,0.0925,12.8225
"50",2,"ARCH","Jan","2020-2059",1.4475,0.2075,0.0725,0.2775,0.36,0.3425,11.5725
"51",2,"ARCH","Jan","2060-2099",0.1225,0.3425,0.1625,0.5025,0.18,0.2125,10.055
"52",2,"BLCA","Jan","1980-2019",19.2475,0.0225,0.0075,0.03,0,0.085,76.495
"53",2,"BLCA","Jan","2020-2059",9.3175,0.035,0.0125,0.045,0.9425,0.5125,81.2775
"54",2,"BLCA","Jan","2060-2099",1.7375,0.2025,0.075,0.2775,0.7625,0,61.0475
"55",2,"BRCA","Jan","1980-2019",20.38,0.0175,0.0125,0.03,0.16,0.14,42.8075
"56",2,"BRCA","Jan","2020-2059",10.325,0.145,0.01,0.1575,0.4475,0.1625,44.8375
"57",2,"BRCA","Jan","2060-2099",3.23,0.19,0.085,0.2775,0.13,0.425,40.52
"58",2,"CANY","Jan","1980-2019",4.49,0.11,0.0525,0.16,0.0925,0.08,8.15
"59",2,"CANY","Jan","2020-2059",0.805,0.1275,0.0875,0.2225,0.17,0.2225,7.3025
"60",2,"CANY","Jan","2060-2099",0.2025,0.1975,0.1525,0.3575,0.535,0.2175,6.785
"61",2,"CARE","Jan","1980-2019",5.605,0.05,0.0325,0.0825,0.0475,0,26.88
"62",2,"CARE","Jan","2020-2059",2.8275,0.09,0.1,0.1925,0.15,0,26.4675
"63",2,"CARE","Jan","2060-2099",0.7125,0.13,0.145,0.27,0.2275,0.0625,27.16
"64",2,"CEBR","Jan","1980-2019",140.465,0.01,0,0.0125,0.1525,0.3225,226.3225
"65",2,"CEBR","Jan","2020-2059",98.6825,0.01,0,0.01,0.25,1.135,227.2325
"66",2,"CEBR","Jan","2060-2099",34.4925,0.04,0.0025,0.0425,0.475,1.1475,223.47
"67",2,"COLM","Jan","1980-2019",8.57,0.0725,0.0175,0.09,0.1675,0,43.83
"68",2,"COLM","Jan","2020-2059",1.6975,0.1725,0.07,0.24,0.3575,0.005,43.58
"69",2,"COLM","Jan","2060-2099",0.0825,0.285,0.1775,0.47,0.1525,0.0175,34.03
"70",2,"CURE","Jan","1980-2019",24.2175,0.0025,0,0.0025,0,0,21.985
"71",2,"CURE","Jan","2020-2059",21.39,0,0.0025,0.0025,0,0,22.1975
"72",2,"CURE","Jan","2060-2099",11.43,0.03,0.0075,0.035,0.01,0,19.37
