date,lat,lon,soil_water_monthly_wc,runoff_monthly_wc,rain_monthly_wc,accumswe_monthly_wc,pet_monthly_wc,deficit_monthly_wc,aet_monthly_wc,soil_water_monthly_bc,runoff_monthly_bc,rain_monthly_bc,accumswe_monthly_bc,pet_monthly_bc,deficit_monthly_bc,aet_monthly_bc,park
2020-01-16T05:14:31Z,41.63099575,-112.4939862,87.7,0,0,34.6,0,0,0,71.5,6.2,34.4,0.3,2.3,0,2.3,GOSP
2020-02-15T15:43:35Z,41.63099575,-112.4939862,87.5,80.1,34.8,0.5,3.4,0,3.4,87.3,26.7,20,0,7.4,0,7.4,GOSP
2020-03-17T02:12:39Z,41.63099575,-112.4939862,82.7,24.7,19.3,0,26.7,2.1,24.5,78.6,0,25.6,0,35.8,2.9,32.9,GOSP
2020-04-16T12:41:43Z,41.63099575,-112.4939862,60.9,0,35.7,0,66.2,15.9,50.4,79.2,1,41.9,0,52.7,4.2,48.7,GOSP
2020-05-16T23:10:47Z,41.63099575,-112.4939862,71.1,5.2,73.3,0,81.5,11.5,70.1,58.5,0,35.8,0,100.5,28.5,72.1,GOSP
2020-06-16T09:39:51Z,41.63099575,-112.4939862,37.7,0,25.1,0,113.1,56.4,57.1,36.5,0,50.9,0,119,53.8,65.2,GOSP
2020-07-16T20:08:54Z,41.63099575,-112.4939862,10.3,0,2,0,149.5,129.4,20,12.4,0,20.2,0,136.6,101.8,34.6,GOSP
2020-08-16T06:37:58Z,41.63099575,-112.4939862,2.8,0,10.6,0,131.7,120.8,10.9,4.1,0,11.5,0,117.4,100.7,16.6,GOSP
2020-09-15T17:07:02Z,41.63099575,-112.4939862,5.2,0,29.3,0,77.7,67.6,10.6,2.7,0,22.4,0,85.7,78.3,7.1,GOSP
2020-10-16T03:36:06Z,41.63099575,-112.4939862,29.1,0,30,0,35.7,16.3,19,22.3,0,17.1,0,30.4,19.5,11.1,GOSP
2020-11-15T14:05:10Z,41.63099575,-112.4939862,50.6,0,36.6,0,14.8,4.2,10.6,38.8,0,28.5,0,9,2.7,6.2,GOSP
2020-12-16T00:34:14Z,41.63099575,-112.4939862,70.4,0,10.5,8.9,4.9,0.7,3.9,52.6,0,0.6,4.7,0.5,0.2,0.3,GOSP
2021-01-16T05:14:31Z,41.63099575,-112.4939862,87.2,35.7,31.1,9,2.9,0,2.9,59.6,0,8.7,38.9,0,0,0,GOSP
2021-02-15T15:43:35Z,41.63099575,-112.4939862,86.5,40.8,25.1,2.7,7,0,6.9,69.5,0,4.8,29.4,0,0,0,GOSP
2021-03-18T02:12:39Z,41.63099575,-112.4939862,75.2,5.5,10.5,0,44.3,6.8,37.4,84.7,61.2,44.5,0,21.5,0.6,20.6,GOSP
2021-04-17T12:41:43Z,41.63099575,-112.4939862,50.8,0,22,0,59.1,18.5,40.9,74.2,8.9,29.7,0,50.4,7.1,43.3,GOSP
2021-05-17T23:10:47Z,41.63099575,-112.4939862,24.3,0,0.6,0,105.5,77.1,28.4,37.9,0,13.4,0,90.1,44.2,45.5,GOSP
2021-06-17T09:39:51Z,41.63099575,-112.4939862,28.7,0,84.2,0,104.4,46.9,57.6,18.4,0,16,0,121.7,92.8,28.7,GOSP
2021-07-17T20:08:54Z,41.63099575,-112.4939862,26.5,0,41.6,0,138.7,80.2,58.3,6.4,0,13.9,0,145.6,121.5,23.8,GOSP
2021-08-17T06:37:58Z,41.63099575,-112.4939862,12.1,0,7,0,113.7,92.3,21.3,3.2,0,29,0,116.6,91.5,24.9,GOSP
