date,lat,lon,soil_water_monthly,runoff_monthly,rain_monthly,accumswe_monthly,pet_monthly,deficit_monthly,aet_monthly,park
1980-01-16T05:14:31Z,41.63099575,-112.4939862,79.3,56.5,30.3,7.6,0,0,0,GOSP
1980-02-15T15:43:35Z,41.63099575,-112.4939862,87.1,57.6,43.6,0,9.6,0,9.4,GOSP
1980-03-17T02:12:39Z,41.63099575,-112.4939862,83.8,19.8,33.8,5.7,17.4,0.6,16.9,GOSP
1980-04-16T12:41:43Z,41.63099575,-112.4939862,71.6,4.2,22.7,0,58.9,9.3,49.6,GOSP
1980-05-16T23:10:47Z,41.63099575,-112.4939862,76.9,20.9,122.3,0,82.6,7,75.5,GOSP
1980-06-16T09:39:51Z,41.63099575,-112.4939862,57.1,33.5,51,0,110.5,36.9,73.4,GOSP
1980-07-16T20:08:54Z,41.63099575,-112.4939862,21.1,0,15.3,0,133.3,96,37.4,GOSP
1980-08-16T06:37:58Z,41.63099575,-112.4939862,6.1,0,16.2,0,108.4,87.3,21.1,GOSP
1980-09-15T17:07:02Z,41.63099575,-112.4939862,10.7,0,27.8,0,72.4,50.7,21.7,GOSP
1980-10-16T03:36:06Z,41.63099575,-112.4939862,22.1,0,27.3,0,34.6,24.4,10.2,GOSP
1980-11-15T14:05:10Z,41.63099575,-112.4939862,35.9,0,16,0.5,13,7.5,5.8,GOSP
1980-12-16T00:34:14Z,41.63099575,-112.4939862,56.5,0,12,0,3.6,0.7,3.1,GOSP
1981-01-16T05:14:31Z,41.63099575,-112.4939862,66.4,0,19.1,6.4,0.6,0.2,0.4,GOSP
1981-02-15T15:43:35Z,41.63099575,-112.4939862,85.2,2,6.2,0,9.3,0,9.3,GOSP
1981-03-18T02:12:39Z,41.63099575,-112.4939862,83.1,21.1,47.6,0,28.3,1.3,26.9,GOSP
1981-04-17T12:41:43Z,41.63099575,-112.4939862,71.9,0,20.3,0,62.5,10.8,51.7,GOSP
1981-05-17T23:10:47Z,41.63099575,-112.4939862,58.9,4.1,91,0,84.5,16.8,68,GOSP
1981-06-17T09:39:51Z,41.63099575,-112.4939862,47.7,0,15.9,0,115.5,49.5,66.1,GOSP
1981-07-17T20:08:54Z,41.63099575,-112.4939862,12.2,0,4.2,0,135.7,112.4,23.1,GOSP
1981-08-17T06:37:58Z,41.63099575,-112.4939862,2.9,0,4.6,0,119.2,110.8,8.5,GOSP
1981-09-16T17:07:02Z,41.63099575,-112.4939862,0.9,0,6.9,0,77.4,69.5,6.9,GOSP
1981-10-17T03:36:06Z,41.63099575,-112.4939862,49,0,97.3,0,32,7,25.1,GOSP
1981-11-16T14:05:10Z,41.63099575,-112.4939862,73.5,0,18.6,3.9,14.1,1.7,12.5,GOSP
1981-12-17T00:34:14Z,41.63099575,-112.4939862,85.2,21.2,16.1,26.3,4.6,0,4.3,GOSP
1982-01-16T05:14:31Z,41.63099575,-112.4939862,87.7,4,0,54.9,0,0,0,GOSP
1982-02-15T15:43:35Z,41.63099575,-112.4939862,87.6,76.4,13.6,0,1.2,0,1.2,GOSP
1982-03-18T02:12:39Z,41.63099575,-112.4939862,86.7,69.1,79.1,0,16.5,0.2,16.3,GOSP
1982-04-17T12:41:43Z,41.63099575,-112.4939862,80,9.8,31.6,0,43.7,4.1,39.4,GOSP
1982-05-17T23:10:47Z,41.63099575,-112.4939862,65.9,0,46.4,0,81.7,17.1,64.7,GOSP
1982-06-17T09:39:51Z,41.63099575,-112.4939862,34.3,0,15.3,0,111.7,61.6,49.9,GOSP
1982-07-17T20:08:54Z,41.63099575,-112.4939862,16.7,0,55.7,0,129.1,77.5,51.4,GOSP
1982-08-17T06:37:58Z,41.63099575,-112.4939862,12.9,0,18.1,0,120.2,94.7,25.6,GOSP
1982-09-16T17:07:02Z,41.63099575,-112.4939862,27.6,22.6,134.3,0,69.5,30.9,38.7,GOSP
1982-10-17T03:36:06Z,41.63099575,-112.4939862,78.9,19.8,45.5,0,30,2.6,27.7,GOSP
1982-11-16T14:05:10Z,41.63099575,-112.4939862,85,33,36.7,8.8,8.8,0,8.8,GOSP
1982-12-17T00:34:14Z,41.63099575,-112.4939862,87.7,40.2,18.9,11.6,0,0,0,GOSP
1983-01-16T05:14:31Z,41.63099575,-112.4939862,87.4,30.5,16,1.4,3.2,0,3.2,GOSP
1983-02-15T15:43:35Z,41.63099575,-112.4939862,87.1,26,21.3,1.3,6.4,0,6.4,GOSP
1983-03-18T02:12:39Z,41.63099575,-112.4939862,87.3,49.3,63.2,0,20.6,0,20.5,GOSP
1983-04-17T12:41:43Z,41.63099575,-112.4939862,85.6,18.4,55.8,0,39,0.5,38.3,GOSP
1983-05-17T23:10:47Z,41.63099575,-112.4939862,79.6,30.3,68.6,0,78.3,8,70.2,GOSP
1983-06-17T09:39:51Z,41.63099575,-112.4939862,43.9,0,27.8,0,108.5,48.3,60,GOSP
1983-07-17T20:08:54Z,41.63099575,-112.4939862,20.2,0,38.2,0,130.3,81.9,48.3,GOSP
1983-08-17T06:37:58Z,41.63099575,-112.4939862,26,0,79.8,0,118.7,60.6,58.1,GOSP
1983-09-16T17:07:02Z,41.63099575,-112.4939862,34,0,64.9,0,72.4,31.6,40.9,GOSP
1983-10-17T03:36:06Z,41.63099575,-112.4939862,74.5,0,51.8,0,39.6,4,35.5,GOSP
1983-11-16T14:05:10Z,41.63099575,-112.4939862,82,3,25.5,32.2,11.3,0.4,10.7,GOSP
1983-12-17T00:34:14Z,41.63099575,-112.4939862,87.7,40.4,8.5,102.6,0,0,0,GOSP
